mapping_id,reviewer_decision,reviewer_note,reviewed_by,reviewed_at
errskill__00449d076c2ff54c,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0059831dc243d2f4,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0074ac41c7c44625,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__008919810ea4a304,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0094d2286f942bbd,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__00a48b603babb345,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__00c4de5bd613eb6c,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__00ed787037fd25e2,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__016418da7822766a,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__01abd011c87c6bf9,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0256ea1d1a3bab3f,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0257e2c5cbbb86e6,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__02e62f15072e7592,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__02e6376030474edd,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__03044dbac7e08acf,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__039b426af668973b,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__03ca67936bfb6a5c,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__040c6dae713b2d6d,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__045b83c468f35297,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__04a22b17c7db0a5a,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__04a3d302ba59a1d3,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__04b7e01d95f41d30,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0515a85551c7647f,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0526c2bd6b9804e8,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__055f7b727dea246c,NEEDS_REVIEW,Edit structure is not a one-to-one token replacement; sentence-level review is required.,,
errskill__0566c7547f06a59f,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__059920cba5b6b71f,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__05b587cc456926c4,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__05ee6d47fdb56242,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0624a76f9be9e82e,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__06e37fd1be336303,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__06ebd5b6f3cfd16f,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__071bdc1cc39e2c30,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__073b575cd1dba3ad,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__079a015f66bca793,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__07ee896f73bd19b1,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0873c9b88cfd269a,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__08a44a439fa9be52,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__08f9cdd1e826f6d5,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0908a20c3eb40be1,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__093b78dfa78f97f1,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__096d5b9ecd373b68,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__09a7d663e967cc68,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__09caaecd5450fc0f,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0adf463c0a3d8873,APPROVE,Source correction confirms a present-tense base/non-3SG to third-person singular form contrast for the same lexical verb.,codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0c431ab49a91c36a,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
errskill__0c6f8ea4a97a63cd,NEEDS_REVIEW,"AGV is confirmed, but the correction does not deterministically identify the canonical third-person -s morphology.",,
errskill__0cbe2a9e28d1a3e9,REJECT,"Source correction is agreement of the verb 'be', not the lexical present-simple third-person -s skill.",codex_assisted_review_on_user_request,2026-09-18T04:32:31.039483+00:00
